,business_name,address,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,user_name,time,rating,text,year
142789,The Polite Pig,"The Polite Pig, 1536 Buena Vista Dr, Orlando, FL 32830","Indoor/outdoor counter-serve spot for smoked meats, Southern specialties & cocktails on tap.",28.3705926,-81.5159766,['Barbecue restaurant' 'Cocktail bar'],4.4,1753,$$,"[array(['Saturday', '11AM–11PM'], dtype=object)
 array(['Sunday', '11AM–10PM'], dtype=object)
 array(['Monday', '11AM–10PM'], dtype=object)
 array(['Tuesday', '11AM–10PM'], dtype=object)
 array(['Wednesday', '11AM–10PM'], dtype=object)
 array(['Thursday', '11AM–10PM'], dtype=object)
 array(['Friday', '11AM–11PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot',
       'Wheelchair accessible restroom', 'Wheelchair accessible seating'],
      dtype=object), 'Activities': None, 'Amenities': array(['Bar onsite', 'Good for kids', 'High chairs', 'Restroom', 'Wi-Fi'],
      dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['College students', 'Family-friendly', 'Groups', 'Tourists'],
      dtype=object), 'Dining options': array(['Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': array(['Mask required',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Health and safety': None, 'Highlights': array(['Fast service'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Cocktails', 'Comfort food', 'Hard liquor',
       ""Kids' menu"", 'Late-night food', 'Quick bite', 'Small plates',
       'Vegetarian options', 'Wine'], dtype=object), 'Payments': array(['Debit cards', 'NFC mobile payments', 'Credit cards'], dtype=object), 'Planning': None, 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Outdoor seating', 'Takeout', 'Dine-in'], dtype=object)}",Closed ⋅ Opens 11AM,Afton Brockopp,2021-04-07,5.0,"Amazing food!!! Great service!!! Our waiter was Tim and Luis they took very good care of us. We thoroughly enjoyed our food, would come back, only downside is the Disney price which is expected.",2021
149741,Greek City Cafe,"Greek City Cafe, 3125 Commercial Way, Spring Hill, FL 34606","Counter-serve eatery providing a selection of pitas, wraps & Greek-inspired sandwiches.",28.4764576,-82.61396169999999,"['Greek restaurant' 'Dessert restaurant' 'European restaurant'
 'Fast food restaurant' 'Mediterranean restaurant' 'Restaurant']",4.6,1141,$,"[array(['Saturday', '11AM–9PM'], dtype=object)
 array(['Sunday', '11AM–8PM'], dtype=object)
 array(['Monday', '11AM–9PM'], dtype=object)
 array(['Tuesday', '11AM–9PM'], dtype=object)
 array(['Wednesday', '11AM–9PM'], dtype=object)
 array(['Thursday', '11AM–9PM'], dtype=object)
 array(['Friday', '11AM–9PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot',
       'Wheelchair accessible restroom', 'Wheelchair accessible seating'],
      dtype=object), 'Activities': None, 'Amenities': array(['Good for kids', 'High chairs', 'Restroom'], dtype=object), 'Atmosphere': array(['Casual', 'Cozy'], dtype=object), 'Crowd': array(['Groups', 'Tourists'], dtype=object), 'Dining options': array(['Lunch', 'Dinner', 'Catering', 'Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': array(['Mask required',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Health and safety': None, 'Highlights': array(['Fast service', 'Great dessert'], dtype=object), 'Lodging options': None, 'Offerings': array(['Coffee', 'Comfort food', 'Healthy options', ""Kids' menu"",
       'Quick bite', 'Small plates', 'Vegetarian options'], dtype=object), 'Payments': array(['NFC mobile payments', 'Credit cards'], dtype=object), 'Planning': None, 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Outdoor seating', 'Curbside pickup', 'Delivery', 'Takeout',
       'Dine-in'], dtype=object)}",Closed ⋅ Opens 11AM,Hachiko,2021-06-16,4.0,I finally tried this place..i am glad i did! The gyro is really good and perfectly seasoned! I only gave 4 stars because my pizza was not crisp so it was soggy . the chips are Amazing! I will visit this place again!,2021
151730,Cicis,"Cicis, 3695 S Orlando Dr, Sanford, FL 32773, United States","Italian chain offering buffets with an array of specialty pizzas, plus simple pastas & salads.",28.758986,-81.28383989999999,"['Pizza restaurant' 'American restaurant' 'Buffet restaurant'
 'Italian restaurant' 'Takeout restaurant']",4.1,608,$,"[array(['Saturday', '11AM–9PM'], dtype=object)
 array(['Sunday', '11AM–9PM'], dtype=object)
 array(['Monday', '11AM–9PM'], dtype=object)
 array(['Tuesday', '11AM–9PM'], dtype=object)
 array(['Wednesday', '11AM–9PM'], dtype=object)
 array(['Thursday', '11AM–9PM'], dtype=object)
 array(['Friday', '11AM–9PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible car park', 'Wheelchair-accessible entrance',
       'Wheelchair-accessible seating', 'Wheelchair-accessible toilet'],
      dtype=object), 'Activities': None, 'Amenities': array(['Good for kids', 'High chairs'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['Family friendly', 'Groups', 'Tourists', 'University students'],
      dtype=object), 'Dining options': array(['Breakfast', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'],
      dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': array(['Fast service', 'LGBTQ-friendly'], dtype=object), 'Lodging options': None, 'Offerings': array(['All you can eat', 'Comfort food', ""Kids' menu"", 'Quick bite',
       'Salad bar', 'Small plates', 'Vegetarian options'], dtype=object), 'Payments': array(['Debit cards', 'NFC mobile payments'], dtype=object), 'Planning': None, 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeaway',
       'Dine-in'], dtype=object)}",Closed ⋅ Opens 11AM,Ben Q,2021-06-15,3.0,The have great choice of pizza. The dough was very salty which kill the taste.,2021
154450,Genghis Grill,"Genghis Grill, 3805 Northdale Blvd, Tampa, FL 33624",Colorful chain with a large variety of ingredients for build-your-own Mongolian stir-fry bowls.,28.094334399999997,-82.5037979,"['Mongolian barbecue restaurant' 'Asian restaurant' 'Bar & grill'
 'Chinese restaurant' 'Pan-Asian restaurant' 'Restaurant'
 'South Asian restaurant' 'Vegan restaurant' 'Vegetarian restaurant']",4.4,718,$$,,"{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot',
       'Wheelchair accessible restroom'], dtype=object), 'Activities': None, 'Amenities': array(['Bar onsite', 'Good for kids', 'High chairs', 'Restroom'],
      dtype=object), 'Atmosphere': None, 'Crowd': None, 'Dining options': array(['Lunch', 'Dinner', 'Catering', 'Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': array(['Staff wear masks', 'Staff get temperature checks',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Alcohol', 'All you can eat', 'Beer', 'Cocktails', 'Comfort food',
       'Happy hour drinks', 'Hard liquor', ""Kids' menu"",
       'Vegetarian options', 'Wine'], dtype=object), 'Payments': array(['Debit cards'], dtype=object), 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Takeout', 'Delivery', 'Dine-in'], dtype=object)}",,Forest Rothchild,2018-12-16,5.0,Let the balancing challenge begin.  The concept of build your own stir fry is taken up a notch when you can hit the assembly line and build to infinite flavor combination.  The staff are friendly but it is always a friendly competition to see who can get most creative with the quantity that will fit in the bowl before being cooked.,2018
156309,Metro Diner,"Metro Diner, 250 Palm Coast Pkwy NE #250, Palm Coast, FL 32137, United States",Local diner chain serving classic American breakfast & lunch fare in a warm atmosphere.,29.556734,-81.210655,"['Diner' 'American restaurant' 'Breakfast restaurant' 'Brunch restaurant'
 'Chicken restaurant' 'Family restaurant' 'Fried chicken takeaway'
 'Hamburger restaurant' 'Takeout restaurant' 'Southern restaurant (US)']",4.5,1763,$$,"[array(['Saturday', '8AM–8PM'], dtype=object)
 array(['Sunday', '8AM–8PM'], dtype=object)
 array(['Monday', '8AM–8PM'], dtype=object)
 array(['Tuesday', '8AM–8PM'], dtype=object)
 array(['Wednesday', '8AM–8PM'], dtype=object)
 array(['Thursday', '8AM–8PM'], dtype=object)
 array(['Friday', '8AM–8PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible car park', 'Wheelchair-accessible entrance',
       'Wheelchair-accessible seating', 'Wheelchair-accessible toilet'],
      dtype=object), 'Activities': None, 'Amenities': array(['Good for kids', 'High chairs', 'Toilets', 'Wi-Fi'], dtype=object), 'Atmosphere': array(['Casual', 'Cosy'], dtype=object), 'Crowd': array(['Family friendly', 'Groups', 'Tourists', 'University students'],
      dtype=object), 'Dining options': array(['Breakfast', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'],
      dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': array(['Mask required',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Highlights': array(['Fast service', 'Great coffee', 'Great dessert',
       'Great tea selection'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food',
       'Healthy options', ""Kids' menu"", 'Quick bite', 'Spirits',
       'Vegetarian options', 'Wine'], dtype=object), 'Payments': array(['Debit cards', 'Credit cards'], dtype=object), 'Planning': None, 'Popular for': array(['Breakfast', 'Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Outdoor seating', 'Curbside pickup', 'No-contact delivery',
       'Delivery', 'Takeaway', 'Dine-in'], dtype=object)}",Closed ⋅ Opens 8AM,Patti Platt,2021-06-12,5.0,Everything here was amazing the presentation was beautiful they were incredibly fast it was incredibly clean overall a pleasant and wonderful experience I will definitely be repeated highly recommend if you're in town!,2021
158449,Glory Days Grill,"Glory Days Grill, 4088 Park St N, St. Petersburg, FL 33709, United States",Sports-bar chain featuring hearty American fare (including gluten-free dishes) & games on TV.,27.809662,-82.75471499999999,"['Sports bar' 'American restaurant' 'Bar & grill'
 'Chicken wings restaurant' 'Family restaurant' 'Hamburger restaurant']",4.4,824,$$,"[array(['Friday', '11AM–12AM'], dtype=object)
 array(['Saturday', '11AM–12AM'], dtype=object)
 array(['Sunday', '11AM–11PM'], dtype=object)
 array(['Monday', '11AM–11PM'], dtype=object)
 array(['Tuesday', '11AM–11PM'], dtype=object)
 array(['Wednesday', '11AM–11PM'], dtype=object)
 array(['Thursday', '11AM–11PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible car park', 'Wheelchair-accessible entrance',
       'Wheelchair-accessible seating', 'Wheelchair-accessible toilet'],
      dtype=object), 'Activities': None, 'Amenities': array(['Gender-neutral toilets', 'Toilets', 'Wi-Fi'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['Groups', 'Tourists'], dtype=object), 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': array(['Mask required', 'Staff wear masks',
       'Staff get temperature checks',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Highlights': array(['Fast service', 'Great beer selection', 'Great cocktails', 'Sport'],
      dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Cocktails', 'Food', 'Food at bar',
       'Happy-hour drinks', 'Happy-hour food', 'Spirits', 'Wine'],
      dtype=object), 'Payments': array(['Debit cards'], dtype=object), 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Outdoor seating', 'Curbside pickup', 'Delivery', 'Takeaway',
       'Dine-in'], dtype=object)}",Closes soon ⋅ 12AM ⋅ Opens 11AM Sat,Paul sneed,2021-01-10,4.0,"Yep, a return visit. Good as first time. Awesome staff. Our waitress (bar hitop) was so nice! Manager came by to check on us. Just a nice place to go out to enjoy a good meal. Family friendly and a sports fan dream.",2021
172789,Perkins Restaurant & Bakery,"Perkins Restaurant & Bakery, 4110 Wedgewood Ln, The Villages, FL 32162","Kid-friendly chain known for baked goods, breakfasts & other American standards in dinerlike digs.",28.928001499999997,-82.0318463,['Restaurant' 'Bakery' 'Family restaurant'],3.6,18,$$,,"{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot',
       'Wheelchair accessible seating'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['Family-friendly', 'Groups', 'Locals', 'Tourists'], dtype=object), 'Dining options': array(['Breakfast', 'Lunch', 'Dinner', 'Dessert', 'Seating'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': array(['Great coffee', 'Great dessert'], dtype=object), 'Lodging options': None, 'Offerings': array(['Coffee', 'Comfort food', 'Healthy options', ""Kids' menu"",
       'Late-night food', 'Vegetarian options'], dtype=object), 'Payments': array(['Checks', 'Debit cards'], dtype=object), 'Planning': None, 'Popular for': array(['Breakfast', 'Lunch', 'Dinner'], dtype=object), 'Recycling': None, 'Service options': array(['Delivery'], dtype=object)}",,Jaw Bone,2016-06-02,5.0,they won't let me move in. It's that good and the staff is wonderful.,2016
183610,Guido's Pizza Cafe,"Guido's Pizza Cafe, 7219 Forest Oaks Blvd #2330, Spring Hill, FL 34606, United States","Enduring, family-owned bar/eatery in a strip mall with thin-crust pizza, Italian entrees & desserts.",28.4918601,-82.5973949,['Pizza restaurant' 'Cafe' 'Italian restaurant' 'Pizza takeaway'],4.4,1118,$$,"[array(['Friday', '11AM–9PM'], dtype=object)
 array(['Saturday', '11AM–9PM'], dtype=object)
 array(['Sunday', '12–8PM'], dtype=object)
 array(['Monday', '11AM–8PM'], dtype=object)
 array(['Tuesday', '11AM–8PM'], dtype=object)
 array(['Wednesday', '11AM–8PM'], dtype=object)
 array(['Thursday', '11AM–8PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids', 'High chairs'], dtype=object), 'Atmosphere': array(['Casual', 'Cosy'], dtype=object), 'Crowd': array(['Groups', 'Tourists'], dtype=object), 'Dining options': array(['Catering', 'Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': array(['Mask required',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Coffee', 'Comfort food', ""Kids' menu"", 'Quick bite',
       'Small plates'], dtype=object), 'Payments': None, 'Planning': array(['Accepts reservations'], dtype=object), 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Delivery', 'Takeaway', 'Dine-in'], dtype=object)}",Closed ⋅ Opens 11AM Sat,AngryGoat 6.0,2021-04-04,5.0,"Interesting place which seems to be like a Dinner, Pizza Parlor, Sandwich Shop. Called my order in and a nice person answered the phone like from Mel's Dinner. She was very nice and we had a quick short conversation because I had never ordered from there. I ordered a Chicago Beef Sandwich and Wings.
Arriving at the restaurant I found it very clean. It was a little dark inside but it had a nice atmosphere.
My food wasn't ready but the servers were on top of it.
Chicago Beef Sandwich was very tasty. Wasn't overly salty. And the juices to dip it into or very tasty. I thoroughly enjoyed it. The wings were very crispy and good as well.
I would be ordering from them again.",2021
186733,Chili's Grill & Bar,"Chili's Grill & Bar, 13050 N Dale Mabry Hwy, Tampa, FL 33618",Family-friendly chain serving classic Tex-Mex & American fare in a Southwestern-style setting.,28.064545,-82.505194,"['Tex-Mex restaurant' 'American restaurant' 'Bar' 'Bar & grill'
 'Hamburger restaurant' 'Mexican restaurant' 'Restaurant']",4.0,1278,$$,"[array(['Friday', '11AM–12AM'], dtype=object)
 array(['Saturday', '11AM–12AM'], dtype=object)
 array(['Sunday', '11AM–11PM'], dtype=object)
 array(['Monday', '11AM–11PM'], dtype=object)
 array(['Tuesday', '11AM–11PM'], dtype=object)
 array(['Wednesday', '11AM–11PM'], dtype=object)
 array(['Thursday', '11AM–11PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot',
       'Wheelchair accessible restroom', 'Wheelchair accessible seating'],
      dtype=object), 'Activities': None, 'Amenities': array(['Good for kids', 'High chairs'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['College students', 'Groups', 'Tourists'], dtype=object), 'Dining options': array(['Lunch', 'Dinner', 'Catering', 'Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': array(['Staff required to disinfect surfaces between visits'],
      dtype=object), 'Health and safety': None, 'Highlights': array(['Fast service', 'Great dessert'], dtype=object), 'Lodging options': None, 'Offerings': array(['Coffee', 'Comfort food', 'Happy hour food', ""Kids' menu"",
       'Late-night food', 'Quick bite', 'Small plates'], dtype=object), 'Payments': array(['Debit cards', 'NFC mobile payments', 'Credit cards'], dtype=object), 'Planning': array(['Accepts reservations'], dtype=object), 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout',
       'Dine-in'], dtype=object)}",Open ⋅ Closes 12AM,Gracie Galan,2021-04-07,5.0,Got takeout on Thursday night and Adam took my order at the register and made sure I got everything I needed. I was very impressed. It was close to closing time so things were a bit hectic but he was super helpful.,2021
196829,Skidders Restaurant,"Skidders Restaurant, 5799 Gulf Blvd, St Pete Beach, FL 33706, United States",Casual Greek & Italian dishes come in a relaxed setting with booth seating & plenty of windows.,27.731444399999997,-82.7441437,['Italian restaurant' 'Continental restaurant' 'Greek restaurant'],4.5,2401,$$,"[array(['Friday', '8AM–10PM'], dtype=object)
 array(['Saturday', '8AM–10PM'], dtype=object)
 array(['Sunday', '8AM–10PM'], dtype=object)
 array(['Monday', '8AM–10PM'], dtype=object)
 array(['Tuesday', '8AM–10PM'], dtype=object)
 array(['Wednesday', '8AM–10PM'], dtype=object)
 array(['Thursday', '8AM–10PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible car park', 'Wheelchair-accessible entrance',
       'Wheelchair-accessible seating', 'Wheelchair-accessible toilet'],
      dtype=object), 'Activities': None, 'Amenities': array(['Good for kids', 'High chairs'], dtype=object), 'Atmosphere': array(['Casual', 'Cosy'], dtype=object), 'Crowd': array(['Family friendly', 'Groups', 'Tourists'], dtype=object), 'Dining options': array(['Breakfast', 'Lunch', 'Dinner', 'Dessert', 'Seating'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': array(['Mask required',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Highlights': array(['Great coffee', 'Great dessert'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Coffee', 'Comfort food', 'Happy-hour drinks',
       'Happy-hour food', 'Healthy options', ""Kids' menu"",
       'Late-night food', 'Quick bite', 'Small plates',
       'Vegetarian options', 'Wine'], dtype=object), 'Payments': array(['Cheques', 'Debit cards', 'Credit cards'], dtype=object), 'Planning': array(['Accepts reservations'], dtype=object), 'Popular for': array(['Breakfast', 'Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Outdoor seating', 'Curbside pickup', 'Takeaway', 'Dine-in'],
      dtype=object)}",Open ⋅ Closes 10PM,Joseph Lewis,2021-04-18,5.0,Skidders Restaurant has a good tasting breakfast. The eggs are good sunny side up; the sausage patties are cooked right; the biscuits and gravy are very delicious. The water and grapefruit juice went down well. Sitting outside and eating here was a morning pleasure.,2021
201018,Riggins Crabhouse,"Riggins Crabhouse, 607 Ridge Rd, Lantana, FL 33462, United States",Steamed blue crabs plus local seafood are dished out in a no-frills spot attached to a fish market.,26.588811699999997,-80.06802669999999,['Crab house' 'Restaurant' 'Seafood restaurant'],4.3,1383,$$,"[array(['Friday', '12–10PM'], dtype=object)
 array(['Saturday', '12–10PM'], dtype=object)
 array(['Sunday', '12–9PM'], dtype=object)
 array(['Monday', 'Closed'], dtype=object)
 array(['Tuesday', 'Closed'], dtype=object)
 array(['Wednesday', '12–9PM'], dtype=object)
 array(['Thursday', '12–9PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible car park', 'Wheelchair-accessible entrance',
       'Wheelchair-accessible seating', 'Wheelchair-accessible toilet'],
      dtype=object), 'Activities': None, 'Amenities': array(['Bar on site', 'Good for kids', 'High chairs', 'Toilets'],
      dtype=object), 'Atmosphere': array(['Casual', 'Cosy'], dtype=object), 'Crowd': array(['Family friendly', 'Groups', 'Tourists'], dtype=object), 'Dining options': array(['Lunch', 'Dinner', 'Dessert', 'Seating'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': array(['Mask required',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Highlights': array(['Fast service', 'Great cocktails'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Coffee', 'Comfort food', 'Happy-hour food',
       'Healthy options', ""Kids' menu"", 'Quick bite', 'Small plates',
       'Vegetarian options'], dtype=object), 'Payments': array(['Debit cards', 'Credit cards'], dtype=object), 'Planning': array(['Accepts reservations'], dtype=object), 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Takeaway', 'Dine-in', 'Delivery'], dtype=object)}",Open ⋅ Closes 10PM,Dani Engstrom,2021-05-27,5.0,"It was our first time there. It is a cute little place with amazing food and excellent service. Tabatha was our server and she was so friendly, helpful, and attentive. The crab stuffed mushrooms were probably the best I have ever eaten. We ordered the coconut shrimp, a clambake, and the crab au gratin. We were not disappointed. We will definitely return to try some more yummy food!",2021
209355,Mellow Mushroom Port Orange,"Mellow Mushroom Port Orange, 5790 Journey's End Way, Port Orange, FL 32127, United States","Funky, art-filled chain pizzeria featuring craft beer, calzones & creative stone-baked pizzas.",29.1065835,-81.0266547,"['Pizza restaurant' 'Caterer' 'Gluten-free restaurant' 'Restaurant'
 'Sandwich shop' 'Vegan restaurant']",4.4,1287,$$,"[array(['Friday', '11AM–11PM'], dtype=object)
 array(['Saturday', '11AM–11PM'], dtype=object)
 array(['Sunday', '11AM–10PM'], dtype=object)
 array(['Monday', '11AM–10PM'], dtype=object)
 array(['Tuesday', '11AM–10PM'], dtype=object)
 array(['Wednesday', '11AM–10PM'], dtype=object)
 array(['Thursday', '11AM–10PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible car park', 'Wheelchair-accessible entrance',
       'Wheelchair-accessible seating', 'Wheelchair-accessible toilet'],
      dtype=object), 'Activities': None, 'Amenities': array(['Bar on site', 'Good for kids', 'High chairs', 'Toilets', 'Wi-Fi'],
      dtype=object), 'Atmosphere': array(['Casual', 'Cosy'], dtype=object), 'Crowd': array(['Family friendly', 'Groups', 'Tourists', 'University students'],
      dtype=object), 'Dining options': array(['Lunch', 'Dinner', 'Catering', 'Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': array(['Staff wear masks',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Highlights': array(['Fast service', 'Great cocktails', 'LGBTQ-friendly', 'Sport'],
      dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food',
       'Happy-hour drinks', 'Happy-hour food', 'Healthy options',
       ""Kids' menu"", 'Late-night food', 'Organic dishes', 'Quick bite',
       'Small plates', 'Spirits', 'Vegetarian options', 'Wine'],
      dtype=object), 'Payments': array(['Debit cards', 'Credit cards'], dtype=object), 'Planning': array(['Accepts reservations'], dtype=object), 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Outdoor seating', 'Curbside pickup', 'Delivery', 'Takeaway',
       'Dine-in'], dtype=object)}",Open ⋅ Closes 11PM,John Hamilton (jmh033089),2021-06-09,4.0,"Everything was great, server was not great. The time we went there was only two other people there. But the food was amazing I can not speak high enough of the food. Everything was amazing and everything from the soup to the pizza was cooked perfectly. The atmosphere and ambience was very mellow and laid back.",2021
214095,El Cilantrillo Restaurant,"El Cilantrillo Restaurant, 3628 W Vine St, Kissimmee, FL 34741, United States","Informal eatery with mint-green walls, serving traditional Puerto Rican food & drinks.",28.304153,-81.440354,['Puerto Rican restaurant' 'Creole restaurant'],4.2,3098,$$,"[array(['Friday', '11AM–10PM'], dtype=object)
 array(['Saturday', '11AM–10PM'], dtype=object)
 array(['Sunday', '11AM–10PM'], dtype=object)
 array(['Monday', '11AM–9PM'], dtype=object)
 array(['Tuesday', '11AM–9PM'], dtype=object)
 array(['Wednesday', '11AM–10PM'], dtype=object)
 array(['Thursday', '11AM–10PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible car park', 'Wheelchair-accessible entrance'],
      dtype=object), 'Activities': None, 'Amenities': array(['Bar on site', 'Good for kids', 'High chairs', 'Toilets', 'Wi-Fi'],
      dtype=object), 'Atmosphere': array(['Casual', 'Cosy'], dtype=object), 'Crowd': array(['Family friendly', 'Groups', 'Tourists'], dtype=object), 'Dining options': array(['Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], dtype=object), 'From the business': array(['Identifies as women-led'], dtype=object), 'Getting here': None, 'Health & safety': None, 'Health and safety': array(['Mask required', 'Staff wear masks',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Highlights': array(['Great coffee', 'Great dessert', 'Live music', 'Sport'],
      dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Coffee', 'Comfort food', 'Happy-hour drinks',
       'Happy-hour food', 'Healthy options', ""Kids' menu"",
       'Late-night food', 'Quick bite', 'Small plates'], dtype=object), 'Payments': array(['Debit cards', 'Credit cards'], dtype=object), 'Planning': array(['Accepts reservations'], dtype=object), 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Curbside pickup', 'Delivery', 'Takeaway', 'Dine-in'], dtype=object)}",Opens soon ⋅ 11AM,Vanyo Esquilin,2021-05-21,2.0,The food is good but the wait was too long. After an hour waiting we got have of appetizers and no silverware. The quality of the food must be accompanied by good service. The server was trying to do his best but the kitchen speed affected the outcome.  For a better experience we recommend arriving at less congested hours,2021
