Restaurant_Name,Recommendations_content
2 Korean Girls,"[""Yoon's Spoon"", 'Equilibre Healthy Food', 'Hot Wok', 'THE KRAZY VEGAN', 'Da Kine Poke DeBary', 'KIMBOP', ""Jimmy John's"", 'Shang Hai', 'Falafel Grill - Mediterranean Cuisine', 'Smoothie Jungle Cafe (Coral Springs)']"
22 South Food Hall,"['Skip’s Deli', 'Ballantraeclubhouse', '22 South Food Hall', 'Little Hall Express', ""King's Corner"", 'Cafe Delanie', ""Tailwind's"", 'Mighty Wings', 'Golden Spoon Diner & Seafood', ""Daddy O's Patio Fine Dining Restaurant""]"
2Shea's Salty Dog,"[""Gator's Dockside Lake Mary"", 'Los Verdes Doral', 'Wicked Wings & Things', ""Clancy's Cantina"", 'Nick & Stella Pizza Perfecto', 'Burger Craze', 'JK Fast Food & Fruit', 'Kousine Boca Raton', 'Que Pasa Mexican Kitchen', ""Milano's Italian Restaurant Pizza and Bar""]"
3 Pepper Burrito Company,"['Diced', 'Poke Lab Eatery', 'POKE BURRI JACKSONVILLE', 'Smoothie Express Miami Shores', 'Island Fin Poke UCF', 'Kaia Bowls - Acai Bowls, Pitaya Bowls, Poke Bowls (Countryside)', 'GRAB’N’GROW', 'Tropical Smoothie Cafe', 'OMG JUICE', 'K BAB']"
3 Sons Bar-B-Q,"['Hog Heaven Bar B-Q', ""Smokey's Bar-B-Que"", 'Crydermans Barbecue', 'Graves Drive-In', 'Wood Fire Pizza', 'Rey tequeño food truck #1', 'Indio Mara Fast Food', 'PANADICTO LLC', ""Church's Chicken"", 'Italian Pizza and Grill']"
3Natives,"['The lakeside eatery', 'Fla Juice & Bowl', 'Lilly Rose Cafe', 'Subway', ""Jimmy John's"", 'Poached', 'DORAL CAFE', 'Smoothie Jungle Cafe (Coral Springs)', 'UHMAZEBOWLS Cape Coral', 'Açaí Bowls Tropical Fusion']"
4 Rivers Smokehouse,"[""Voyager's Smokehouse"", 'Sakura Sushi Bar', 'Chulas', 'Saffron Indian Cuisine', ""Rocco's Pizza Pasta Grill"", 'Baci Pizza Restaurant', 'Snappers Fish & Chicken', 'El Tropico Paleteria Taqueria', 'Kasai and Koori OG', 'Palace Pizza']"
400 Pazzis,"['HJ German Corner', 'Gulf Coast Burger Co.', ""Luigi's Pizza"", 'Epik Burger', 'The Pie House', 'KUBA EN LA PLAYA', 'Pizza Ave', ""Eleni's Pizza Works"", ""Michael's Ali Coal Fired Pizza Clermont"", 'Mr. & Mrs. Crab Juicy Seafood & Bar']"
407 Gelato (Maitland),"['Hometown Desserts', ""Marlee's Cupcakery"", 'Tierra Caliente Paleteria', 'Bright Ice', 'Bonjour French Bakery Weston', 'Twistee Treat Pinellas Park', 'American Craft Aleworks', ""Rita's Italian Ice & Frozen Custard"", 'Jackson Bros ice cream', 'Cieladitos']"
4th Street Pizza,"['Italian Pizza and Grill', ""Giovanni's New York Pizza"", 'Flagler Avenue Pizza Company', ""Pappy's Pizza Fort Pierce"", 'Chicago Calzone', 'China Tokyo Express', 'New China Restaurant', 'Enzos Pizza & Grill', 'China Garden', 'Heavenly Pizza']"
5 o'Clock Somewhere Bar and Grill,"[""Woody's Local Neighborhood Rum & Grille"", ""Mojo's Wings Burgers Beer"", 'The Hut Bar and Grill', 'Paradise Bar & Grill', 'Winners Circle Sportsbar & Grill', 'Corkscrew Bar and Grille', 'Mangroves Bar', 'The WingHouse of New Port Richey', 'Sports Grill Sunset', 'The Clevelander Bar']"
5inco Restaurant,"[""Church's Chicken"", 'El Rincon Colombiano (Pembroke Pines)', 'JK Fast Food & Fruit', 'La Gloria Mexican Restaurant-Pinellas Park', 'Wagon Wheel Pizza of Melbourne', ""Zaxby's Chicken Fingers & Buffalo Wings"", 'Skyline Chili', 'Graves Drive-In', 'LA CATRINA TAPATIA', 'Popeyes Louisiana Kitchen']"
60 Minutes Photo Imaging,"['Digital Photo Lab', 'Pro Lab of Pompano', ""Nick's Photo Studio"", 'Miguisa Photo Lab & Miguisa Photo Books For Professional Photographer South Florida.', 'Laser Images', 'Gary W. Sweetman Photography & Digital Imaging', 'Aloha Dry Cleaners & Alterations', 'Spaulding Decon', 'SERVPRO of Central St. Petersburg/Pinellas Park', 'SERVPRO of Bay County']"
6th Street Deli,"['High Tide', ""Fat Daddio's Pizza"", 'The Honey Baked Ham Company', ""Mr. Beefy's subs and more"", 'Broadway Sandwich Shop', 'RS Subs And More', 'Marianne Gourmet', 'Subs Salads and More', 'SeaSide Subs', ""Blimpie America's Sub Shop""]"
7 SIETEMARAVILLASFOODTRUCK Miami Birrias Tacos al Pastor Burritos Baleadas Hondureñas Restaurant Kendall Cutler bay Gyros Shawarma Pescado frito Bus,"['El Burro Loco', 'Latin Food Blessing', 'Arepa Santa Barbara', 'Mr. Taco', 'The Best Restaurant', 'Springs Grill Pizzeria', 'La Nota Restaurant', 'Sarku Japan', 'La Mina Restaurante', ""J.A.C.'S Corner""]"
787 on wheels,"['Mediterranean Experience', ""JB's Seafood"", 'A Taste Of Miami', 'Nacho’s Tacos', 'South Pacific Grill', 'Waros Grill Venezuelan Food Truck', 'Arepas Santa Bárbara la Original', 'Seven Wonders Bakery', 'Poulet Chic Restaurant', 'Chile Lindo']"
800 Degrees Woodfired Kitchen,"['Oma’s Pizza & Restaurant', 'Pizza City', ""Luigi's Pizza"", 'Mellow Mushroom Orlando - International Drive', ""Rudi's Pizza"", 'Bandeja Paisa Restaurant', ""Grimaldi's Pizzeria"", ""Antonio's House of Pizza"", 'Pizza Bella', ""Johnny Brusco's New York Style Pizza""]"
83 West & 29 North at 83 West,"['Gulf Coast Burger Co.', ""Hammerhead Fred's"", ""Captain Bill's Oyster Bar"", 'Boteco', ""O'Leary's Tiki Bar & Grill"", 'El Rincon Colombiano (Pembroke Pines)', 'HJ German Corner', 'Antojos Boricuas II', ""AJ's Grayton Beach"", 'Shunk Gulley Oyster Bar']"
86 Forks Bar + Table,"['Thai Sushi by KJ', 'El Dorado Mexican Restaurant', 'Citrus Fresh Grill', 'Ootoya Sushi Lounge Thornton Park', 'Itálica Pizza Bar', 'The Lure', 'Sokai', 'Peruvian Fusion Cuisine', 'Basil Thai Restaurant', 'OCC Road House & Museum']"
888 Chinese Restaurant,"['China Top', 'Oriental Garden Chinese Restaurant', 'Shanghai Chinese Restaurant', 'China Town', 'Golden Wok', 'Little Panda', 'China Gourmet', 'East Wok Chinese Restaurant', 'China Gourmet 2', 'China Garden III']"
900º Pizza and Pasta,"['El Sabor Ponceño', 'Slicers Hoagies', ""Lorene's Fish House"", ""Cheche's Burger"", '900º Pizza and Pasta', 'Brown Bagger Food Truck', ""Toni's Pizza"", 'Burger Bros Pc', 'Jbs cheesesteaks sunrise', 'Los primos del sabor 809']"
A Bit of Saigon,"['A Bit of Saigon', 'Pholicious Vietnamse Rice Noodle Soup', 'Phở Charlotte', 'Pholicious, Inc.', 'Absolute Thai Cafe (Valparaiso)', 'Snay Thai', 'Hot Kim Chi', 'Cocoa Beach Thai & Sushi', 'Tasty Pho', 'Mini Pita Mediterranean Cafe']"
A La Bartola,"['Bon Appetit Restaurant & 727 Lounge', 'Empanadas tia pina / comida venezuela', 'Serie 49 Restaurants and Bar', 'Chef Pepito', 'Mariscos El Oceano', 'Riverside Express Seafood', 'Island Fava Delites', 'Gonzalos Taqueria Y Carnitas', 'Taqueria La Cabana', 'El Toro Loco Churrascaria Bird Road Food Truck']"
A Sprig of Thyme,"['Counter Culture Vero', 'Overture Restaurant & Gallery Lounge', 'Puerto Gallego Inc', 'Red Carpet Italian Restaurant Downtown', 'Carpe Diem', 'Café de Marco', 'The Restorative', 'Esencias Cafe', 'Olivia Restaurant & Roof Top', 'Los Gauchitos']"
A Taste Of Miami,"['Mediterranean Experience', ""JB's Seafood"", 'A Taste Of Miami', 'Nacho’s Tacos', 'South Pacific Grill', 'Waros Grill Venezuelan Food Truck', 'Arepas Santa Bárbara la Original', 'Seven Wonders Bakery', 'Poulet Chic Restaurant', 'Chile Lindo']"
A1A Burrito Works,"['Sierra Grille', 'Taco Bus', 'Pollo Tropical', 'La Nopalera Mexican Restaurant', 'Cactus Flower Cafe', 'New China Restaurant', 'Greek City Cafe', 'Enzos Pizza & Grill', 'Italian Pizza and Grill', 'Fuddruckers']"
ABC Lobster Company,"['Lakeside Grill', 'Cheese Dreams llc', 'Gainesville Soulfood Kitchen', 'Hawk n Hog Brandon', ""Huey Magoo's Chicken Tenders - Sunrise"", 'The King Crab Shack (West Palm Beach, FL)', 'Martorano hard rock', 'F&D Woodfired Italian Kitchen', 'Lowdermilk Beach', ""Belly's Crab Corner""]"
AJ's Grayton Beach,"['Boteco', 'Loft Restaurant and Tiki bar', 'Fonda Sabaneta', 'El Mariachi Restaurant - Mexican & Cuban Cuisine', 'Orale Mexican Restaurant', 'Three Fishermen Seafood Restaurant', 'Yellow Dog Eats', ""Hammerhead Fred's"", ""Flounder's Chowder House"", 'Social restaurant and grill']"
ALADDIN MEDITERANEAN GROCERY,"['Seoul Red Barn Oriental Market', 'Asian Spices', ""Beverly's Oriental Food Market"", ""Goldstein's Prime"", 'Punto Gourmet', 'El gaucho latin market', 'La Placita', 'La Estrellita', 'Masayita Minimarket Corporation', 'First Asian Store and Restaurant']"
AMY'S KITCHEN AND FOOD MART,"[""Armando's Cocina Mexicana"", 'Dos Sabores Restaurant', 'Mi Tierra Mexican Restaurant', 'El Korita', 'Doña kitchen', 'TACO FIESTA', 'Taco Del Ray', 'Real Del Monte Mexican Restaurant', 'Antojitos Mexico Lindo', 'El Taco Regio']"
APEX Disaster Specialists,"['Able Builders, Inc', 'True Builders Inc.', 'Jenkins Restorations', 'Entrusted', 'PuroClean Emergency Services', 'Rapid Recovery Team, LLC.', 'BELFOR Property Restoration', 'SERVPRO of Boynton Beach', 'SERVPRO of South Sarasota', 'Paradise Home Services']"
ARGO Restaurant,"['Arabian Nights Restaurant & Hookah Lounge Orlando', '1-800-Lucky', 'Boteco', 'Fonda Sabaneta', ""Randy's Restaurant & Lounge"", ""Cowpoke's Watering Hole"", 'Orale Mexican Restaurant', 'Los Jarritos Restaurant', 'Pizza City', 'Social restaurant and grill']"
ASIAN DELUXE CUISINE,"['Naruto 88 bistro', 'Iron Sushi', 'Al Carbon Sabor Latino', 'Teriyaki Madness', 'Asian House', 'Dragon Village Asian Café', ""Knott's Asian Cuisine"", 'Hunan City', 'Eastern Pearl Restaurant', 'Hop Shing']"
AUTANA AREPAS GRILL,"['Guava Grill - Latin Fusion', 'Springs Grill Pizzeria', 'Pollo Tropical', 'Nueva Casa Latina Restaurant', 'La Union', 'Latin Food Blessing', 'Antojitos Boricuas', 'Notredame Restaurant', 'Barbara’s cafe', 'Oma’s Pizza & Restaurant']"
Aapna Parivaar,"['Pita Xpress Mediterranean Grill', ""Chick 'n Chop on the Grill"", ""Nature's Table Clearwater [SPC ES Building]"", 'Golden Krust Caribbean Restaurant', 'Bombay Grill', 'Florida Fit Meals', 'Sunrise grill & pizza restaurant', 'Jerusalem Restaurant', 'Chicken Kitchen', ""Escobar's Mexican Restaurant""]"
Abbalé Telavivian Kitchen,"['Guy & the Bird', 'Twin Dragons Restaurant', 'Salon Canton Restaurant', 'Kreyol kitchen', 'La Despensa Key Biscayne', 'Seasons Thai', 'Pad Thai Cafe', 'Jazz Thai', 'Wu’s Kitchen & Wines', 'Le Bon Gout Restaurant']"
Abbe's Donut Shop,"['Sweet Alchemy Confectionery', ""Abbe's Donut Shop"", 'Rinconcito Paisa', 'Majestic Ash Lounge and Southern Spice', 'Vicky Bakery', 'Claire’s Creperie', 'Sazón Tropical Cafe', 'Brasserie Honoré', 'Financier Bistro & Bar a Vin', 'Antonio & Vittoria Italian Tavern']"
"Able Builders, Inc","['APEX Disaster Specialists', 'True Builders Inc.', 'Jenkins Restorations', 'Entrusted', 'PuroClean Emergency Services', 'Rapid Recovery Team, LLC.', 'BELFOR Property Restoration', 'SERVPRO of Boynton Beach', 'SERVPRO of South Sarasota', 'HOME ANGELS Plumbing | Water | Mold | Fire']"
Absolute Thai Cafe (Valparaiso),"['Absolute Thai Cafe (Valparaiso)', 'Cocoa Beach Thai & Sushi', 'Viet Thai Kitchen', 'Rooster Thai Sushi', 'A Bit of Saigon', 'Bonjour Vietnam', 'Thai Fuji Restaurant', 'Hot Kim Chi', 'Pholicious Vietnamse Rice Noodle Soup', 'Mini Pita Mediterranean Cafe']"
Acapulco Cafe,"['El Taco Regio', 'Antojitos Mexico Lindo', 'El Korita', 'Mi Tierra Mexican Restaurant', 'Dos Sabores Restaurant', 'Guanajato Mexican Restaurant', 'La Pequena', 'TACO FIESTA', 'Taco Del Ray', 'Las Delicias']"
Acapulco Mexican Restaurant,"['Bluefire Grille', 'COBBSTERS KITCHEN & BAR', 'Strike 10 Bowling Sports Lounge Arcade', 'Topside at the Beacon', 'Mainstay Tavern', 'Fiesta Bar&Grill', ""Wolf's Steakhouse"", 'Bold City Grill', 'Wormburner’s Grill & Bar', 'Bridges Restaurant']"
Ace Cafe Orlando,"['Big Pink', 'Stonewood Grill & Tavern', 'The Crazy Cucumber 352 Eatery and Bar', ""Mel's Diner - Fort Myers"", ""Ashley's of Rockledge"", 'La Carreta', 'Ruby Tuesday', ""Rooney's"", 'Largo Family Restaurant', 'Country Angels']"
Ackee Tree Jamaican Restaurant,"['Island Fava Delites', 'UPTOP JAMAICAN RESTAURANT & LOUNGE', 'Young`s Jamaican Restaurant', 'Delores Kitchen and Pub', 'Jamaican Jerk Kitchen', ""Leroy's"", 'Banana Hut', 'Awesome Jamaican Jerk and Thing', 'Jamaican Bakery Wholesale', 'Flavors Caribbean Restaurant']"
ActivAte Acai Bowls & Smoothie Café,"['Fresh Fusion Juice Bar', 'Nekter Juice Bar', 'GoJuice', 'Froots Davie', 'Super Smoothie', 'Smoothielicious', 'JOE & THE JUICE', 'Giardino Gourmet Salads', 'Jamba Flamingo Falls', 'Smoothie King']"
Adapt Freshness,"['Adapt Freshness', 'Power Meals', 'Kaia Bowls - Acai Bowls, Pitaya Bowls, Poke Bowls (Countryside)', 'GRAB’N’GROW', 'Poke Lab Eatery', 'Island Kitchen', 'Island Fin Poke UCF', ""Akel's Deli"", 'Phở Hương Lan', ""Mag's Cafe""]"
Aegean Express,"['Mana Greek Fusion', 'Gyro Plus', 'Mavy Cafeteria', ""Tailwind's"", 'Glasskey Restaurant & Take-Out', ""King's Corner"", 'Little Hall Express', ""J.R's Flamin Grill BAR B Q"", 'El mazorcazo', 'Wimbos']"
Aersi,"[""Olsen's Air Cooled VW"", 'Matrix Performance', 'Sundance Bug and Buggy', 'Parkhaus 1 Performance & Parts', 'Auto Critic Inc.', 'Space Coast Auto Center', 'Autotronics USA', 'J B Bugs', ""Helsel's Automotive"", 'East Coast Automotive Services']"
Agave Vegan Bakery,"[""Yoon's Spoon"", 'Equilibre Healthy Food', 'Hunan City', 'Falafel Grill - Mediterranean Cuisine', 'Açaí com Tapioca', 'New Wok', 'Poké Falls (Poké point)', 'Pita Gourmet', 'Boca Fresca', 'Cauli bites']"
Ahadu Ethiopian Restaurant,"['Namaste Miami Indian Cuisine', 'Enjoy Thai Restaurant', 'Inch & Ounces Vietnamese Street Food', 'Kreyol kitchen', 'Treelion', 'Savour Of Caribbean Restaurant', 'Tropical Oasis', ""Randy's Take-Out Restaurant"", 'THAI STICKY RICE', 'Cafe Ruyi Chinese Food']"
Ahmed Indian Grill & Restaurant,"['Lazeez Cuisine', 'Taste of Curry', 'Sus Hi Eatstation - UF', 'Saalan Restaurant', 'New China Chinese Restaurant', 'Asian Taste Restaurant', 'Bombay Grill', 'Simply Indian', 'New Wok', 'Sushi Wok']"
Aja Food Truck (Bird Road),"['Aja Food Truck (Bird Road)', 'Taquería Guadalupana (food truck)', 'El Paponazo', 'Taqueria Olgys Food Truck', ""Facto's Snack Shack"", 'Tampa Bay Food Truck Rally Truck', 'CEVICHE KING PERUVIAN FOOD TRUCK', ""Charley's Cheesesteaks"", 'Sobik’s Subs of Geneva', 'Halal Krispy Krunchy Chicken PLEASE CALL FOR ORDER']"
Akel's Deli,"['Phở Hương Lan', ""Mag's Cafe"", 'Island Kitchen', 'Smoothie Jungle Cafe (Coral Springs)', 'Oli Café', ""Carvor's Fish House"", 'Eat Smart Naples', 'Phở Bar Vietnamese Kitchen', 'Fresh Eats', 'Drawbridge Cafe']"
Al Basha Grill,"['Jerusalem Restaurant', 'Izgara Middle Eastern Cuisine', 'Pita: Fast Fresh Mediterranean', 'Gyro 365', 'Mediterranean Gourmet', 'New Bamboo', 'Taco Bus', 'China Restaurant', 'Iron Sushi', 'City Caribbean Cafe']"
Al Carbon Sabor Latino,"['Real Del Monte Mexican Restaurant', 'Eat Peru - Homestyle Peruvian Food', 'K BAB', 'MOD Pizza', 'Treelion', ""Randy's Take-Out Restaurant"", 'Thai 98 Cafe', 'Tropical Oasis', ""Patti's Kitchen thai street noodles"", 'THAI STICKY RICE']"
Al Zon del Pilon,"['Mediterranean Experience', ""JB's Seafood"", 'A Taste Of Miami', 'Nacho’s Tacos', 'South Pacific Grill', 'Waros Grill Venezuelan Food Truck', 'Arepas Santa Bárbara la Original', 'Seven Wonders Bakery', 'Poulet Chic Restaurant', 'Chile Lindo']"
Al's Beach Club,"[""AJ's Grayton Beach"", 'Pisco Tarpon Springs', 'Boteco', 'Shunk Gulley Oyster Bar', ""Dick's Wings and Grill Argyle"", 'Arabian Nights Restaurant & Hookah Lounge Orlando', 'ARGO Restaurant', 'Loft Restaurant and Tiki bar', 'Murdocks Southern Bistro', 'Sak Pase Restaurant']"
Al's Coffee Shop,"['Cafeteria La Caridad', ""Steve's Espresso"", 'La Tinajita Cafe', 'Lee & Dee Cafe', ""Milkin' it"", 'Sanatos Healthy Market', 'The Corner Coffee and Pantry - Key Biscayne', 'Café Aroma', 'Metro Deli & Cafe', 'Tango 3 Coffee']"
Alacati Mediterranean Restaurant,"['Happy Lavash', 'Izgara Middle Eastern Cuisine', 'Jerusalem Restaurant', 'Mediterranean Gourmet', 'Friendship Café - Falafel, Shawarma & more', 'Simply Indian', 'Pita Xpress Mediterranean Grill', 'Almazar', 'Petralunga Restaurant', 'Veronica’s Restaurant']"
Aladin's Grill,"['Asian Seafood', 'Halal Food Express', 'Alacati Mediterranean Restaurant', 'Chao Cajun', 'Blue Wave Argentinian Cuisine', 'Waterstone Grill', 'THAI Chili Pepper - Lutz', 'Cabalen Restaurant', 'East Wok Chinese Restaurant', 'Mediterranean Gourmet']"
Alberto's Pizzeria Italian Restaurant Since 1956,"['Shakers American Café', 'Rinconcito Miami #4 - Military Base', ""Ferraro's Italian Grille"", 'Cedar River Seafood', 'The Lunch Box Deli', 'La Carreta', 'Palace Pizza', 'Village Inn', 'Pane E Vino Italian Restaurant, Deli & Bakery', ""Cristino's Coal Oven Pizza""]"
Aldo's New York Pizza,"['Pizza Carousel', ""Marino's Pizza - Pasta"", 'New York Pizza & Pasta Cafe', 'Samuel Mancinos Pizza and Grinders', ""Castello's Pizza | Pizza Delivery Windermere"", ""Guido's Pizza Cafe"", ""Mama Mia's Pizza"", ""Basilico's Italian Restaurant"", ""Fratelli's Pizza and Cafe"", 'FANTASY Pizza']"
Alegria Nica,"['Julianos BBQ', 'Doya', 'Slims bbq', 'Island Taste Bistro Hookah Lounge', ""VIDAL'S GRILL ( tu sabor boricua)"", 'Fusion Grill Restaurant', 'Mable’s Place Southern Cooking', 'Isla Del Encanto', 'Wings n Things', 'Alegria Nica']"
Ali's Sweet Treats,"['Happy Vegan Bakers Café', 'Cafe Garden', 'South Cape Diner and Breakfast Restaurant', 'Latin Cuban Cafeteria', 'Pan Pa Ya', '13 Gypsies', ""Cristino's Coal Oven Pizza"", 'Pane E Vino Italian Restaurant, Deli & Bakery', 'Vicky Bakery', 'Claire’s Creperie']"
Alices Gulf Coast Cuisine & Wine Bar,"['Roux 30A', 'Flambe After Dark', 'The Restorative', 'Estiatorio Ornos a Michael Mina Restaurant', 'Los Gauchitos', 'Trevini Ristorante', 'The Edward Ball Dining Room@ Wakulla Springs', 'Carpe Diem', ""Oli's Fashion Cuisine"", 'The Café at Books & Books']"
All About Empanadas,"[""Doggi's Wynwood"", 'Rincon Caribeno', 'La Nota Restaurant', 'Flavors Caribbean Restaurant', 'Las Reynas Swap Shop', ""Kelly's Cajun Grill"", ""Jackie's Jamaican Pot LLC"", 'Fortune Cookie Chinese Restaurant', ""Hazel's Caribbean Spot"", 'Los Andes Restaurant']"
All American Carburetors,"['All American Carburetors', 'Alloy Wheel Repair Specialists of Jacksonville', 'Mends & Blends LLC', 'Nesseralla Unlimited Custom Automotive', 'The Scratch & Dent Shop', 'Total Recon Inc', ""MORO'S CLASSIC CARS"", 'Maven Construction Group', 'Complete DKI', 'WILCO Restoration']"
All Pro Tinting 2255 E. Olive Rd.,"['Mends & Blends LLC', 'EZ Jeeps', 'All American Carburetors', 'Alloy Wheel Repair Specialists of Jacksonville', 'The Scratch & Dent Shop', 'Total Recon Inc', 'Eddie Palmer Mobile Detailing/ A Touch of Class Mobile Detailing and Car Wash', 'Graveyard Classics', 'Day Off Detailing - Paint Correction & Ceramic Coatings', ""Kelley's Detail Studio""]"
All Star Pizza,"[""Nick's Tomato Pie"", 'H2 Kitchen + Pizzeria', 'The Pizza Den Of The Forest', ""Bala's Pizza"", 'Banana River Market', 'La Pizza Nostra', 'Joe Daddys Pizza', 'Nexus Pizza', ""Mama Sue's Pizza and Wings"", 'Eagles Pizza']"
Alladin's Magic Carpet Cleaner,"['Barrows Carpet & Upholstery Cleaning', 'First Impressions Carpet, Tile & Oriental Rug Cleaning', 'Steam Vac Inc.', 'Stanley Steemer', 'Serv-U #1 Carpet & Upholstery Cleaning', 'UniClean Carpet & Upholstery Cleaning', 'ServiceMaster 24 Hour', 'iMold Water Damage & Mold Restoration SWFL', 'SERVPRO of Bay County', 'SERVPRO of Central St. Petersburg/Pinellas Park']"
Allegria Ristorante,"['Caffe Andiamo', 'Pasta And...', 'Villagio', 'Positano Ristorante', 'Antonio & Vittoria Italian Tavern', 'Olivia Restaurant & Roof Top', ""Petrella's Italian Cafe"", 'Esquina Criolla', 'Mercado 31 Estacionamiento', 'Vignetos Italian Grill']"
Alloy Wheel Repair Specialists of Jacksonville,"['All American Carburetors', 'Alloy Wheel Repair Specialists of Jacksonville', 'Mends & Blends LLC', 'Nesseralla Unlimited Custom Automotive', 'The Scratch & Dent Shop', 'Total Recon Inc', ""MORO'S CLASSIC CARS"", 'Maven Construction Group', 'Complete DKI', 'WILCO Restoration']"
Allyz Auto / Color Recon,"['Pro Tree Kustoms & Auto Collision', ""McHugh's Automotive Group"", 'Scratch Car Automotive Paint Repair Specialist', ""Jorge's Paint & Body Shop"", 'Dent In One', 'South Motors Collision Center', 'European Paint & Body II', 'Florida Body Shop Inc', 'B & B Auto Body', ""Gene's Auto Frame & Towing""]"
Almazar,"['Habibi Kabob Grill Lebanese Food Halal', 'Halal Food Express', 'Mediterranean paradise', 'Gyro 365', 'Pita Gourmet', 'Mediterranean Gourmet', 'Ocho Rios Jamaican Restaurant', 'Bonzouti Resturant', 'Waterstone Grill', 'Izgara Middle Eastern Cuisine']"
Aloha Dry Cleaners & Alterations,"['Kristi Kleaners', 'UniClean Carpet & Upholstery Cleaning', 'SERVPRO of Bay County', 'SERVPRO of Central St. Petersburg/Pinellas Park', 'iMold Water Damage & Mold Restoration SWFL', 'ServiceMaster 24 Hour', 'SERVPRO of West Pasco', 'Steam Vac Inc.', 'Barrows Carpet & Upholstery Cleaning', 'First Impressions Carpet, Tile & Oriental Rug Cleaning']"
Amelia's 1931,"['El Buen Pan Bakery and Restaurant', 'Cascade Pool Cafe at The Biltmore Hotel Miami', ""Bella's Italian Café"", 'Finka Table & Tap', 'Beccofino Italian Bistro', 'El Floridita Seafood Restaurant - Kendall', 'Jungle Vibes', 'Havana 1957 Cuban Cuisine Espanola Way', ""Maxine's Bistro and Bar"", 'Belly Fuel Restaurant']"
American Craft Aleworks,"['Hometown Desserts', 'Taste The World -Mediterranean-Palestinian Cuisine', 'wheel cafe', 'Mr Gyros Wings & Grill', 'El Palacio', ""L'Eden Cafe & Bar"", ""Bojangles' Famous Chicken 'n Biscuits"", 'SKYFIN Asian Bistro', 'The Porkupine Pub', ""Troni's pizza""]"
